,Name,Links,Cost,Cuisines,Timings,Price Range,Rating,American,Andhra,Arabian,Asian,BBQ,Bakery,Beverages,Biryani,Burger,Cafe,Chinese,Continental,Desserts,European,Fast Food,Finger Food,Goan,Healthy Food,Hyderabadi,Ice Cream,Indonesian,Italian,Japanese,Juices,Kebab,Lebanese,Malaysian,Mediterranean,Mexican,Mithai,Modern Indian,Momos,Mughlai,North Eastern,North Indian,Pizza,Salad,Seafood,South Indian,Spanish,Street Food,Sushi,Thai,Wraps,Total_Cuisines,cluster_kmean,cluster_gmm
34,Mazzo - Marriott Executive Apartments,https://www.zomato.com/hyderabad/mazzo-marriott-executive-apartments-gachibowli,1700,"['Italian', 'North Indian', 'South Indian', 'Asian']",6am to 12midnight (Mon-Sun),1500-2000,4.19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,3,1
35,Green Bawarchi Restaurant,https://www.zomato.com/hyderabad/green-bawarchi-restaurant-gachibowli,700,"['North Indian', 'Chinese', 'Biryani']",12 Noon to 11 PM,600-700,3.49,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2
36,Banana Leaf Multicuisine Restaurant,https://www.zomato.com/hyderabad/banana-leaf-multicuisine-restaurant-gachibowli,700,"['Biryani', 'South Indian', 'North Indian', 'Chinese', 'Andhra']","12:30 PM to 3:30 PM, 7 PM to 10:40 PM",600-700,3.69,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,1,2
37,Kritunga Restaurant,https://www.zomato.com/hyderabad/kritunga-restaurant-gachibowli,500,"['Andhra', 'Biryani', 'Hyderabadi', 'North Indian']","12 Noon to 4 PM, 7 PM to 11 PM",Below 500,3.47,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,2
38,The Glass Onion,https://www.zomato.com/hyderabad/the-glass-onion-gachibowli,1200,"['North Indian', 'Continental', 'Italian', 'Asian']","12noon to 11pm (Mon, Tue, Wed, Thu, Sun), 12noon to 12midnight (Fri-Sat)",1000-1500,3.83,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,3
39,Deli 9 Bistro,https://www.zomato.com/hyderabad/deli-9-bistro-gachibowli,700,"['Cafe', 'Continental', 'Desserts']",12 Noon to 10:30 PM,600-700,3.82,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
40,Frio Bistro,https://www.zomato.com/hyderabad/frio-bistro-gachibowli,1200,"['European', 'Italian', 'Continental', 'Spanish']",12noon to 11pm (Mon-Sun),1000-1500,3.61,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,3
41,Karachi Bakery,https://www.zomato.com/hyderabad/karachi-bakery-gachibowli,500,"['Bakery', 'Fast Food', 'Desserts']",10 AM to 10 PM,Below 500,3.8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
42,Karachi Cafe,https://www.zomato.com/hyderabad/karachi-cafe-gachibowli,600,"['Cafe', 'Desserts', 'Fast Food']",10 AM to 10 PM,500-600,3.715,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
43,The Foodie Monster Kitchen,https://www.zomato.com/hyderabad/the-foodie-monster-kitchen-gachibowli,500,"['American', 'Wraps', 'Desserts']",7 AM to 1 AM,Below 500,3.58,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2
